"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"290","4","Monarch Phenotype","","Hypospadias","0.0046","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","7.66E-5","","HP:0000047","0.2337242168318426","0"
"14","2","Reactome Pathways","","Golgi Cisternae Pericentriolar Stack Reorganization","0.0048","PLK1|CDK1","580","711|699","7.36E-5","","HSA-162658","0.23187587626244127","0"
"104","3","Monarch Phenotype","","Abnormality of the incisor","0.0049","STAG2|SMC1A|STAG1","580","669|777|747","8.27E-5","","HP:0000676","0.23098039199714862","0"
"51","3","STRING Clusters","","Mixed, incl. Regulation of mitotic sister chromatid segregation, and Kinesin motor domain, conserved site","0.0049","PLK1|AURKB|CDC20","580","711|705|672","1.06E-5","","CL:6608","0.23098039199714862","0"
"81","3","WikiPathways","","DNA IR-damage and cellular response via ATR","0.0052","PLK1|SMC1A|CDK1","580","711|777|699","4.01E-5","","WP4016","0.2283996656365201","0"
"303","4","Monarch Phenotype","","Glaucoma","0.0053","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","9.05E-5","","HP:0000501","0.2275724130399211","0"
"603","5","Monarch Phenotype","","Cerebral atrophy","0.0053","NIPBL|RAD21|SMC1A|SMC3|STAG1","580","729|765|777|759|747","9.04E-5","","HP:0002059","0.2275724130399211","0"
"609","5","GO Cellular Component","","Centrosome","0.0054","ESPL1|PLK1|AURKB|CDC20|CDK1","580","735|711|705|672|699","9.46E-5","","GO:0005813","0.22676062401770314","0"
"87","3","WikiPathways","","Retinoblastoma gene in cancer","0.0055","SMC1A|SMC3|CDK1","580","777|759|699","4.93E-5","","WP2446","0.22596373105057563","0"
"619","5","Monarch Phenotype","","Cryptorchidism","0.0059","NIPBL|RAD21|SMC1A|SMC3|STAG1","580","729|765|777|759|747","1.0E-4","","HP:0000028","0.22291479883578558","0"
"619","5","Monarch Phenotype","","Atrophy/Degeneration affecting the cerebrum","0.0059","NIPBL|RAD21|SMC1A|SMC3|STAG1","580","729|765|777|759|747","1.0E-4","","HP:0007369","0.22291479883578558","0"
"17","2","Monarch Phenotype","","Aplasia of the falx cerebri","0.0059","STAG2|SMC1A","580","669|777","1.0E-4","","HP:0010654","0.22291479883578558","0"
"17","2","Monarch Phenotype","","Proboscis","0.0059","STAG2|SMC1A","580","669|777","1.0E-4","","HP:0012806","0.22291479883578558","0"
"318","4","Monarch Phenotype","","Obesity","0.0061","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","1.1E-4","","HP:0001513","0.22146701649892328","0"
"325","4","Monarch Phenotype","","Short neck","0.0065","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","1.2E-4","","HP:0000470","0.21870866433571443","0"
"327","4","Monarch Phenotype","","Abnormality of skeletal maturation","0.0066","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","1.2E-4","","HP:0000927","0.2180456064458131","0"
"112","3","COMPARTMENTS","","Condensed chromosome, centromeric region","0.0067","PLK1|AURKB|SMC1A","580","711|705|777","1.0E-4","","GOCC:0000779","0.21739251972991736","0"
"84","3","GO Biological Process","","Mitotic cytokinesis","0.0067","ESPL1|PLK1|AURKB","580","735|711|705","4.46E-5","","GO:0000281","0.21739251972991736","0"
"2512","9","GO Biological Process","","Cellular macromolecule metabolic process","0.0067","CDCA5|NIPBL|RAD21|PDS5A|PDS5B|SMC1A|SMC3|CDC20|CDK1","580","723|729|765|771|741|777|759|672|699","4.42E-5","","GO:0044260","0.21739251972991736","0"
"19","2","Monarch Phenotype","","Single naris","0.0068","STAG2|SMC1A","580","669|777","1.3E-4","","HP:0009932","0.2167491087293764","0"
"1063","6","Monarch Phenotype","","Abnormality of joint mobility","0.0068","STAG2|NIPBL|RAD21|SMC1A|SMC3|STAG1","580","669|729|765|777|759|747","1.3E-4","","HP:0011729","0.2167491087293764","0"
"116","3","Reactome Pathways","","EML4 and NUDC in mitotic spindle formation","0.007","PLK1|AURKB|CDC20","580","711|705|672","1.1E-4","","HSA-9648025","0.2154901959985743","0"
"115","3","COMPARTMENTS","","Kinetochore","0.0071","PLK1|AURKB|SMC1A","580","711|705|777","1.1E-4","","GOCC:0000776","0.21487416512809246","0"
"11","2","GO Biological Process","","Positive regulation of ubiquitin protein ligase activity","0.0071","PLK1|CDC20","580","711|672","4.79E-5","","GO:1904668","0.21487416512809246","0"
"1080","6","Monarch Phenotype","","Microcephaly","0.0072","STAG2|NIPBL|RAD21|SMC1A|SMC3|STAG1","580","669|729|765|777|759|747","1.4E-4","","HP:0000252","0.21426675035687315","0"
"339","4","Monarch Phenotype","","Conductive hearing impairment","0.0072","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","1.4E-4","","HP:0000405","0.21426675035687315","0"
"20","2","Monarch Phenotype","","Cyclopia","0.0073","STAG2|SMC1A","580","669|777","1.4E-4","","HP:0009914","0.21366771398795442","0"
"20","2","Monarch Phenotype","","Abnormal heart rate variability","0.0073","STAG2|SMC1A","580","669|777","1.4E-4","","HP:0031860","0.21366771398795442","0"
"1088","6","Monarch Phenotype","","Decreased head circumference","0.0073","STAG2|NIPBL|RAD21|SMC1A|SMC3|STAG1","580","669|729|765|777|759|747","1.4E-4","","HP:0040195","0.21366771398795442","0"
"342","4","Monarch Phenotype","","Functional abnormality of the middle ear","0.0074","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","1.4E-4","","HP:0011452","0.21307682802690237","0"
"8","2","TISSUES","","Mitotic cell","0.0075","AURKB|CDK1","580","705|699","2.77E-5","","BTO:0001476","0.21249387366083","0"
"673","5","Monarch Phenotype","","Abnormal intestine morphology","0.0077","STAG2|NIPBL|RAD21|SMC1A|SMC3","580","669|729|765|777|759","1.5E-4","","HP:0002242","0.2113509274827518","0"
